Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDI35,OUT013,209.6644148
NCW42,OUT045,72.1554092
NCX06,OUT049,75.648196
FDC37,OUT027,206.025152
FDZ14,OUT018,997.5694716
DRG49,OUT049,76.4458244
NCG06,OUT045,72.1554092
DRC36,OUT045,69.7518712
FDV21,OUT019,127.3369132
FDB53,OUT046,124.9253856
DRP47,OUT019,128.6019332
FDA14,OUT013,199.4856644
DRC24,OUT035,699.7411524
FDW21,OUT018,941.3852728
NCH29,OUT046,80.5032096
FDU58,OUT013,216.8870132
FDY27,OUT017,211.0958848
FDV56,OUT035,656.1712004
FDT59,OUT046,75.208768
FDB23,OUT046,99.7155344
FDR49,OUT045,132.3890036
FDB03,OUT010,119.8320156
FDN39,OUT045,72.17272
FDX02,OUT027,208.0238836
FDQ16,OUT027,198.6773832
FDU35,OUT018,1075.282979
NCT29,OUT013,209.6790624
FDZ27,OUT046,74.63618
FDN57,OUT017,237.62402
FDA03,OUT018,997.5694716
FDZ36,OUT045,70.0301756
NCU05,OUT013,209.6790624
FDT39,OUT018,1021.955062
FDK60,OUT017,258.3064312
FDZ25,OUT017,200.6934256
FDG12,OUT046,72.8771364
DRB01,OUT019,127.7443828
NCC43,OUT027,201.630872
FDX13,OUT019,128.918854
FDM22,OUT049,73.47103
FDJ03,OUT027,178.06821
FDU14,OUT018,988.7449584
FDB33,OUT010,94.9510696
FDP27,OUT046,124.7216508
FDO38,OUT010,131.8736744
FDE28,OUT027,215.1186484
FDO27,OUT035,610.918106
DRL23,OUT027,208.0611684
FDS28,OUT046,117.8452684
FDX24,OUT013,195.4136316
FDZ02,OUT035,661.3271556
FDL46,OUT045,71.8158512
FDS60,OUT027,206.025152
NCO06,OUT017,230.6690732
FDO16,OUT035,683.4397052
FDC60,OUT049,123.192974
FDA48,OUT018,1064.482372
FDZ36,OUT027,203.841328
FDK27,OUT045,72.991654
FDW23,OUT018,1064.482372
FDM14,OUT018,1009.002589
FDM14,OUT013,198.321846
FDW60,OUT018,996.988894
FDE21,OUT013,218.68201
NCM42,OUT035,699.4934748
FDY59,OUT010,73.2459896
DRI49,OUT049,127.7443828
FDT28,OUT019,129.8030364
FDQ22,OUT018,940.928534
FDR60,OUT049,128.5806276
FDC50,OUT019,128.918854
FDV24,OUT013,211.6231984
DRF48,OUT010,72.6947072
FDQ47,OUT046,112.8917164
DRN36,OUT049,73.7266972
NCY06,OUT035,699.4934748
FDE52,OUT035,661.3271556
NCB54,OUT045,76.7973668
NCF31,OUT035,699.4934748
FDJ08,OUT027,217.9775936
NCC07,OUT017,216.5953928
NCD19,OUT027,219.5888296
FDL46,OUT049,74.8452412
FDM20,OUT045,94.44373
NCI06,OUT010,124.091804
DRM11,OUT035,696.4347896
NCH07,OUT018,976.6873204
FDS23,OUT013,215.6419672
FDO49,OUT018,996.988894
FDS35,OUT049,124.9626704
DRK39,OUT045,72.0701868
DRI39,OUT049,126.5006684
FDV04,OUT017,241.3578264
NCN14,OUT035,612.342918
FDH08,OUT013,218.68201
FDS20,OUT046,93.6807232
FDV40,OUT049,77.9878172
FDZ48,OUT010,131.4448992
FDS24,OUT027,203.841328
FDK44,OUT049,136.8778272
FDS48,OUT045,71.5455364
FDK26,OUT010,76.493762
FDD23,OUT045,99.9645436
NCH54,OUT017,209.8788024
NCP14,OUT010,132.8084576
FDM60,OUT010,114.504284
FDV24,OUT017,244.002384
FDH08,OUT018,904.2469488
FDS12,OUT027,206.7215788
FDR39,OUT027,205.1715964
FDP12,OUT027,203.841328
DRF60,OUT027,205.6309984
FDC09,OUT035,656.1712004
FDF50,OUT018,1083.407071
FDG28,OUT035,671.59246
NCE19,OUT017,230.6690732
NCM53,OUT010,132.2185588
NCN18,OUT049,75.648196
FDF32,OUT035,570.6332112
FDF11,OUT013,202.6468828
DRI59,OUT049,77.1635568
NCG54,OUT035,585.6403432
FDM44,OUT046,93.6807232
FDT57,OUT018,940.928534
FDV24,OUT046,124.5338952
FDI50,OUT019,77.9665116
FDS09,OUT035,554.8217928
NCC31,OUT027,219.5888296
FDQ07,OUT019,132.4422676
FDC22,OUT017,283.8358664
FDZ56,OUT046,93.6807232
FDZ40,OUT019,78.191552
FDS46,OUT027,225.193534
DRD24,OUT045,70.3524228
FDV45,OUT017,237.62402
FDL26,OUT045,95.861884
FDA56,OUT018,904.2469488
FDN27,OUT046,75.8186408
FDM20,OUT049,95.1188512
FDO16,OUT017,198.4896276
FDL03,OUT035,681.6074236
FDE58,OUT046,73.8651836
FDI02,OUT027,219.9483616
NCC55,OUT019,129.63126
FDR03,OUT018,1021.955062
FDB14,OUT017,256.9082512
FDR45,OUT013,227.1150328
NCN07,OUT017,207.8201488
FDM51,OUT019,75.4125028
FDT52,OUT027,194.9888512
FDL26,OUT046,88.331686
NCZ42,OUT046,75.0582972
DRI47,OUT019,77.1635568
FDW40,OUT013,216.5168284
FDN34,OUT046,73.0369284
FDS01,OUT035,680.3690356
NCG55,OUT045,72.1554092
FDC11,OUT035,597.4130188
FDX35,OUT018,1075.382849
NCB06,OUT046,125.8375316
FDR09,OUT019,127.3369132
FDC53,OUT017,198.4896276
FDY45,OUT013,227.1150328
FDA22,OUT010,139.1482052
FDE02,OUT035,604.6223012
FDW21,OUT045,70.2592108
FDV34,OUT046,73.0369284
FDS59,OUT049,74.4537508
NCW17,OUT017,222.5915876
NCK54,OUT046,75.0582972
FDG17,OUT019,76.7574188
FDG35,OUT017,218.635404
FDD08,OUT010,94.9510696
NCO07,OUT017,207.8201488
FDJ10,OUT010,119.1089568
FDW36,OUT017,206.724242
FDW21,OUT010,71.9064
FDY19,OUT017,224.7461164
DRE03,OUT013,199.4856644
NCC55,OUT049,75.648196
FDH52,OUT010,101.1003984
FDO09,OUT017,283.8358664
FDU43,OUT045,91.7592244
FDX09,OUT010,130.1812108
FDH40,OUT019,124.7829044
FDW58,OUT017,237.62402
FDC47,OUT017,277.5547092
NCR41,OUT035,685.2000804
DRG49,OUT035,605.671602
FDC52,OUT027,205.2648084
FDY13,OUT046,78.7055496
FDY35,OUT013,195.0634208
FDI35,OUT017,224.0936324
NCU18,OUT049,75.648196
FDY33,OUT018,976.269198
FDC15,OUT027,206.2169024
FDU01,OUT049,77.9665116
NCU42,OUT046,75.0582972
NCV29,OUT018,1318.872567
NCY30,OUT017,216.5953928
FDQ46,OUT049,127.3369132
FDG58,OUT027,247.5684088
FDK33,OUT017,237.62402
NCD07,OUT045,72.1554092
NCX29,OUT027,216.4609012
NCT42,OUT013,206.3753628
DRN59,OUT035,700.8623596
FDI44,OUT035,604.4744936
FDA45,OUT049,127.3369132
FDP31,OUT045,130.3077128
FDY01,OUT046,118.3099968
FDT09,OUT018,941.3852728
DRH03,OUT027,208.0238836
FDA36,OUT018,987.8887396
NCF31,OUT017,216.5953928
FDG14,OUT049,77.9665116
FDG28,OUT027,194.9888512
FDU14,OUT049,74.989054
FDY47,OUT019,118.266054
FDI56,OUT049,136.8778272
DRD01,OUT013,186.7355944
FDM22,OUT046,73.0369284
FDH33,OUT013,239.7386008
DRZ24,OUT013,209.7509688
NCQ38,OUT046,73.8758364
FDO16,OUT027,198.6773832
FDU07,OUT027,223.8526128
NCB07,OUT013,197.9250292
FDU48,OUT045,71.5455364
NCM43,OUT045,71.9250424
FDR31,OUT010,130.69654
DRK49,OUT018,1024.073638
NCI30,OUT010,132.8084576
DRD60,OUT017,208.0478524
NCG19,OUT046,125.1783896
FDH12,OUT035,603.74744
FDM32,OUT035,667.6948668
FDM27,OUT035,610.918106
NCU53,OUT027,218.4782752
NCQ18,OUT046,125.1783896
FDS10,OUT013,227.1150328
FDB33,OUT027,223.8526128
FDI12,OUT013,223.7793748
NCW42,OUT013,206.3753628
NCC06,OUT018,873.4843256
FDW02,OUT017,206.524502
NCD43,OUT017,216.5953928
FDM57,OUT018,976.269198
FDA58,OUT017,277.5547092
FDK56,OUT046,132.7192404
FDP52,OUT045,74.862552
FDW20,OUT018,904.2469488
FDS52,OUT049,77.9878172
NCT29,OUT018,1318.872567
NCL54,OUT013,202.7547424
FDC05,OUT045,121.8826796
FDF34,OUT035,636.7125296
FDP03,OUT027,201.4670852
FDD32,OUT010,92.9683172
FDZ10,OUT045,71.8158512
FDZ40,OUT035,683.4397052
FDD51,OUT018,1067.466487
NCY30,OUT019,75.648196
FDP58,OUT017,277.5547092
FDV49,OUT017,208.0904636
FDY24,OUT019,123.192974
NCO55,OUT017,244.7920228
FDR13,OUT017,200.6934256
FDS51,OUT017,201.9224924
FDP26,OUT045,129.0972884
NCB54,OUT027,218.4782752
FDF32,OUT017,193.967514
FDN31,OUT018,961.328646
DRM48,OUT017,245.4391804
FDN20,OUT049,95.1188512
DRL01,OUT046,73.198052
FDV56,OUT049,92.799204
DRH13,OUT027,205.6309984
FDA03,OUT017,206.524502
FDF47,OUT027,210.279614
FDX32,OUT046,126.4260988
FDX57,OUT049,73.47103
NCA30,OUT045,132.4928684
FDO49,OUT013,187.6077924
FDL04,OUT019,129.8030364
DRM48,OUT035,632.5126632
FDR16,OUT013,216.5168284
NCC19,OUT018,976.6873204
NCE42,OUT045,72.1554092
FDY24,OUT017,258.3064312
FDH19,OUT049,76.2594004
FDJ46,OUT013,227.1150328
FDN45,OUT010,130.1812108
FDY08,OUT035,604.826036
FDZ37,OUT035,669.182264
NCT30,OUT045,125.4553624
DRY23,OUT018,1053.685759
NCZ30,OUT018,873.4843256
FDC44,OUT018,1036.252452
FDB45,OUT035,667.6948668
FDY04,OUT013,179.3944836
FDM27,OUT046,75.4444612
FDZ43,OUT017,217.1986076
FDT39,OUT019,75.4125028
NCC06,OUT019,75.648196
FDL15,OUT027,201.0955688
FDL57,OUT017,212.5206968
FDU08,OUT046,93.6807232
FDK40,OUT017,198.4896276
FDQ12,OUT010,73.2459896
FDS48,OUT017,206.724242
FDP09,OUT045,71.8158512
FDW21,OUT049,73.47103
FDY25,OUT035,680.3690356
DRE13,OUT017,208.0478524
FDV43,OUT019,136.8778272
FDD22,OUT045,130.1625684
FDM46,OUT019,127.3369132
NCO30,OUT010,72.7200076
FDM25,OUT046,72.8771364
NCN41,OUT049,80.242216
FDU24,OUT045,121.0850512
FDZ50,OUT046,107.0646348
FDP45,OUT013,216.8870132
NCM54,OUT045,72.1554092
FDW10,OUT019,127.3369132
FDP20,OUT017,224.7461164
FDK32,OUT046,91.9176848
FDN52,OUT049,124.7829044
FDM58,OUT045,70.2592108
FDZ46,OUT027,215.579382
NCA18,OUT018,873.4843256
FDD35,OUT046,100.3919872
NCK31,OUT035,689.0257672
FDI40,OUT027,215.1186484
FDT50,OUT019,121.2448432
NCT06,OUT046,75.0582972
FDT31,OUT035,667.6948668
FDT45,OUT049,74.8452412
FDT13,OUT045,77.3379964
FDO50,OUT045,123.2888492
NCU18,OUT010,132.8084576
NCR54,OUT049,129.63126
NCO18,OUT018,873.4843256
FDU09,OUT045,70.8104932
FDT13,OUT018,1009.002589
FDE09,OUT046,93.6807232
NCK53,OUT019,80.242216
FDG45,OUT049,95.1188512
DRH15,OUT035,607.9579592
FDO21,OUT019,73.47103
FDD14,OUT027,204.2234972
FDC09,OUT046,91.9176848
FDH45,OUT027,231.2776144
FDV32,OUT046,132.7192404
FDG12,OUT035,669.2341964
FDS32,OUT013,210.7177104
NCL55,OUT018,985.7808168
DRE01,OUT035,632.5126632
DRE15,OUT049,74.989054
NCL42,OUT045,72.1554092
FDP31,OUT013,232.4068112
FDN33,OUT018,976.269198
FDZ59,OUT046,116.7094136
FDE45,OUT010,91.2652008
FDJ07,OUT013,190.172454
FDQ45,OUT018,941.3852728
FDM33,OUT027,240.4283696
FDO15,OUT010,74.0476128
FDM46,OUT013,239.7386008
FDR03,OUT045,72.17272
FDY49,OUT018,1016.539445
FDQ60,OUT045,121.0850512
FDW10,OUT049,74.8452412
FDO51,OUT049,75.4125028
FDJ40,OUT018,998.1247488
FDS20,OUT018,904.2469488
FDU45,OUT013,216.8870132
FDV02,OUT035,671.4806056
FDN09,OUT046,73.8651836
NCM55,OUT027,165.7429204
FDN23,OUT018,1075.382849
FDY31,OUT010,95.4331088
FDW03,OUT010,74.0476128
FDD14,OUT046,124.7735832
FDV23,OUT017,242.8092704
DRI03,OUT045,72.0701868
FDN13,OUT035,603.74744
FDF45,OUT027,220.8977924
FDU46,OUT035,636.7125296
FDB57,OUT049,92.799204
FDV12,OUT049,73.1328036
FDQ58,OUT013,227.1150328
NCA18,OUT017,216.5953928
FDH52,OUT049,76.7574188
FDM24,OUT018,1061.800529
NCP43,OUT027,206.178286
NCO18,OUT019,75.648196
FDM32,OUT017,224.7461164
NCL07,OUT017,207.8201488
FDK03,OUT013,222.0163364
FDP59,OUT017,205.7481792
FDQ24,OUT049,74.456414
FDQ16,OUT018,973.9615352
FDU44,OUT013,210.7177104
FDH28,OUT010,123.4486412
FDV28,OUT019,124.7829044
FDM22,OUT045,70.2592108
FDR56,OUT046,126.4260988
FDV39,OUT049,76.2594004
FDU37,OUT019,124.897422
FDQ11,OUT010,72.9330636
FDX02,OUT045,72.0701868
NCS42,OUT018,902.951302
FDY57,OUT027,247.5684088
FDB21,OUT049,136.8778272
FDE28,OUT017,241.3578264
FDQ55,OUT017,217.1986076
FDA48,OUT049,128.5806276
FDZ19,OUT045,138.8232948
NCC43,OUT045,132.4928684
NCV18,OUT046,125.1783896
NCA42,OUT018,873.4843256
FDY45,OUT046,73.8651836
NCC30,OUT045,72.1554092
FDM57,OUT013,252.1824028
FDL09,OUT010,119.1089568
FDB09,OUT027,223.8526128
FDT44,OUT035,604.4744936
NCT06,OUT027,219.5888296
FDX26,OUT049,126.5006684
FDK32,OUT013,210.7177104
DRA12,OUT046,73.27129
FDO46,OUT010,71.9064
FDE52,OUT013,191.8462752
NCH42,OUT045,72.1554092
FDV08,OUT035,667.6948668
FDB47,OUT018,857.7647876
FDC28,OUT010,133.6433708
FDD22,OUT046,122.8321104
FDS07,OUT027,217.9775936
DRI13,OUT045,70.3524228
FDG32,OUT018,1036.252452
FDU14,OUT017,211.0958848
FDD28,OUT019,129.8030364
NCP41,OUT017,222.5915876
FDS08,OUT049,95.1188512
FDX47,OUT045,71.1500512
FDC53,OUT019,77.9878172
FDQ19,OUT035,656.1712004
FDL14,OUT045,74.5642736
FDM33,OUT019,127.3369132
FDA51,OUT045,119.1302624
FDZ27,OUT018,988.7449584
FDT04,OUT046,124.9253856
DRC13,OUT049,73.1221508
FDR16,OUT027,215.1186484
FDQ03,OUT027,214.2850668
FDE38,OUT035,680.3690356
DRH23,OUT027,206.151654
FDT11,OUT019,74.4537508
FDD09,OUT035,667.6948668
FDR40,OUT045,74.862552
FDX07,OUT017,217.1986076
FDR07,OUT035,604.4744936
FDA51,OUT017,255.9508308
FDT59,OUT019,75.6055848
FDF20,OUT017,224.7461164
FDR13,OUT045,74.5642736
FDY26,OUT049,73.6854176
FDW04,OUT017,190.0499468
FDK52,OUT017,223.3679104
FDN60,OUT049,128.5806276
FDM09,OUT019,120.8040836
FDP46,OUT049,95.7673404
FDB50,OUT019,128.918854
NCQ29,OUT049,129.078646
FDP16,OUT027,198.6773832
FDX33,OUT018,976.269198
FDP07,OUT010,94.9510696
FDN22,OUT046,113.7958728
FDF39,OUT049,73.6854176
FDS21,OUT017,229.8714448
NCM42,OUT013,206.3753628
FDK50,OUT019,80.3913552
DRF13,OUT027,205.6309984
FDH35,OUT018,986.4998808
FDP60,OUT018,987.8887396
DRJ49,OUT027,205.6309984
NCT42,OUT019,75.648196
FDE38,OUT049,80.3913552
FDI04,OUT049,83.5419208
NCH54,OUT045,75.9464744
FDT56,OUT049,132.4422676
DRD15,OUT018,988.7449584
FDV58,OUT013,227.1150328
FDP21,OUT049,73.47103
FDH05,OUT013,216.5168284
FDR10,OUT027,234.7024896
NCP06,OUT045,72.1554092
FDF33,OUT049,82.1304248
DRK37,OUT013,193.8103852
DRH49,OUT045,70.3524228
FDT58,OUT013,239.7386008
FDD41,OUT018,1051.950684
FDP40,OUT018,998.1247488
FDM51,OUT027,201.4670852
FDO45,OUT010,71.9064
FDW33,OUT010,130.1812108
FDY24,OUT045,70.0301756
FDB10,OUT010,130.1812108
FDM40,OUT035,615.8197256
NCI06,OUT017,216.5953928
FDW12,OUT019,73.1328036
FDX48,OUT027,203.841328
NCW05,OUT027,216.4609012
FDX27,OUT017,255.9508308
DRM37,OUT045,131.2717912
FDA38,OUT045,72.0701868
FDR36,OUT046,116.7094136
FDZ45,OUT046,74.5602788
FDG05,OUT017,241.3578264
FDK28,OUT013,186.870086
FDV47,OUT045,72.492304
FDN21,OUT045,125.942728
FDP20,OUT027,223.8526128
FDI35,OUT045,100.8407364
DRY23,OUT013,222.4531012
FDA56,OUT017,224.7461164
FDB09,OUT013,218.68201
NCO26,OUT027,199.9157712
FDQ49,OUT018,996.988894
FDI52,OUT027,201.1475012
FDZ44,OUT027,223.8526128
FDZ09,OUT018,984.8353808
FDY03,OUT049,121.4925208
NCG42,OUT017,216.5953928
DRI13,OUT027,205.6309984
FDQ32,OUT013,210.7177104
FDW16,OUT035,671.59246
FDU27,OUT046,117.094246
FDR28,OUT010,76.6362432
FDQ49,OUT010,71.6946756
FDS37,OUT046,78.7055496
FDW26,OUT018,1067.694191
FDX12,OUT018,996.988894
NCP06,OUT013,206.3753628
FDW45,OUT010,73.5389416
NCN30,OUT049,75.648196
FDN24,OUT049,128.5806276
NCL41,OUT027,218.4782752
FDR02,OUT019,74.989054
FDD09,OUT010,94.9510696
FDS33,OUT010,71.9064
FDU22,OUT045,130.1625684
FDI53,OUT013,216.5168284
DRH01,OUT049,127.7443828
FDX32,OUT013,232.4068112
NCP30,OUT018,873.4843256
FDB60,OUT045,71.5455364
FDB14,OUT049,124.897422
NCP02,OUT035,699.4934748
FDJ10,OUT017,283.8358664
FDG34,OUT046,73.0369284
NCB18,OUT017,216.5953928
FDM16,OUT049,76.7574188
FDW25,OUT018,1009.002589
FDB35,OUT010,130.716514
DRN11,OUT013,211.5499604
FDF41,OUT019,129.8030364
FDH16,OUT045,76.493762
NCQ50,OUT018,873.4843256
DRH23,OUT018,1063.632811
DRJ37,OUT013,193.8103852
DRJ24,OUT027,207.1796492
FDY16,OUT035,615.5627268
FDQ27,OUT045,72.17272
FDZ33,OUT045,130.1625684
FDF29,OUT045,74.862552
FDA08,OUT049,92.799204
FDG31,OUT046,75.8186408
FDE34,OUT019,74.8452412
NCR30,OUT027,180.3625568
FDV33,OUT035,636.7125296
DRZ24,OUT018,1024.073638
NCL54,OUT035,585.6403432
FDR12,OUT049,73.1328036
NCC54,OUT046,125.8375316
DRN59,OUT013,196.8783916
FDX50,OUT019,126.5006684
FDV31,OUT027,217.9775936
NCA29,OUT027,219.5888296
FDW60,OUT049,73.1328036
FDX08,OUT017,224.7461164
DRD49,OUT013,209.7509688
FDD33,OUT046,132.7192404
FDW35,OUT013,200.285956
FDJ36,OUT017,258.3064312
FDV51,OUT035,691.1257004
FDW36,OUT046,73.730692
FDH35,OUT046,100.3919872
NCS30,OUT027,201.630872
FDN49,OUT017,257.671258
FDL08,OUT018,904.2469488
FDI09,OUT013,225.63962
FDP19,OUT018,1036.252452
FDU21,OUT010,119.1089568
NCP41,OUT045,76.7973668
FDY10,OUT013,227.1150328
FDP12,OUT018,996.988894
NCN26,OUT049,75.648196
FDK44,OUT013,220.6208196
FDC28,OUT049,77.9878172
FDJ41,OUT027,198.6773832
NCT29,OUT035,685.2000804
NCH42,OUT019,75.648196
FDU60,OUT018,996.988894
FDS02,OUT045,119.1302624
FDC51,OUT046,73.7986036
FDU03,OUT013,219.2585928
FDX39,OUT045,72.17272
NCY05,OUT010,132.2185588
NCL06,OUT027,182.0070828
FDD32,OUT035,656.1712004
NCN41,OUT045,76.7973668
NCX53,OUT049,80.242216
FDU57,OUT019,120.8040836
FDQ23,OUT046,75.208768
FDQ52,OUT045,132.6553236
FDC14,OUT045,74.5642736
FDY09,OUT035,645.1602
FDQ28,OUT045,74.862552
FDV25,OUT046,78.7055496
FDJ07,OUT035,691.1257004
DRB25,OUT049,76.060992
FDK52,OUT019,129.8030364
FDY52,OUT027,198.6773832
FDB28,OUT046,122.1836212
FDT36,OUT035,603.74744
FDV25,OUT017,208.0904636
NCN07,OUT027,206.178286
FDC57,OUT017,217.1986076
FDQ03,OUT018,1077.93819
FDU23,OUT017,212.5886084
NCX41,OUT035,685.2000804
NCD06,OUT035,585.6403432
FDW08,OUT045,138.8232948
NCU29,OUT017,222.5915876
NCE06,OUT013,202.7547424
FDV52,OUT010,123.4486412
FDB02,OUT017,200.6934256
NCR18,OUT045,72.1554092
FDK16,OUT049,77.9878172
NCQ29,OUT010,132.2185588
FDZ01,OUT019,77.9665116
FDW27,OUT035,610.918106
FDD17,OUT018,973.9615352
FDW39,OUT013,183.5317648
DRH59,OUT045,73.8731732
FDS52,OUT013,186.870086
FDU40,OUT027,198.6773832
NCF54,OUT013,206.3753628
FDH46,OUT045,70.2592108
NCP14,OUT049,129.63126
FDH50,OUT049,77.9665116
DRF15,OUT010,73.597532
FDV27,OUT027,201.4670852
NCJ06,OUT049,75.648196
FDN02,OUT018,1089.171567
FDQ51,OUT049,75.4125028
FDQ07,OUT017,266.4185384
FDS45,OUT049,73.47103
NCJ06,OUT045,72.1554092
FDD36,OUT035,680.7578628
FDY25,OUT045,77.3379964
FDU52,OUT046,76.3219856
DRK47,OUT017,209.4553536
NCL30,OUT017,216.5953928
FDN22,OUT035,554.8217928
NCF30,OUT027,201.630872
FDK03,OUT035,618.3497656
FDT45,OUT017,237.62402
NCC54,OUT027,216.4609012
FDP08,OUT018,1034.767718
FDU44,OUT046,91.9176848
DRG39,OUT035,671.4806056
FDU32,OUT049,95.1188512
FDY27,OUT049,74.989054
NCP54,OUT013,206.3753628
NCZ41,OUT049,80.242216
DRL49,OUT013,193.8103852
FDI05,OUT018,1051.950684
FDY56,OUT045,91.7592244
DRC13,OUT013,186.7355944
NCV29,OUT017,222.5915876
FDR24,OUT049,73.1328036
FDZ34,OUT018,1064.482372
FDP37,OUT035,603.74744
FDX08,OUT027,223.8526128
FDS57,OUT045,130.1625684
NCG18,OUT049,75.648196
FDK25,OUT018,1061.800529
FDH53,OUT049,76.7574188
DRI59,OUT018,997.3311152
FDA52,OUT046,117.8452684
FDT20,OUT010,91.5155416
FDE36,OUT019,89.9016424
FDI24,OUT017,238.2884884
FDB28,OUT018,1067.466487
FDV11,OUT017,253.6644736
FDP01,OUT046,72.8771364
FDD34,OUT027,234.7024896
FDJ50,OUT027,209.4846488
FDZ44,OUT013,218.68201
DRO59,OUT035,700.8623596
DRB48,OUT045,69.7518712
FDR21,OUT018,989.87815
NCE42,OUT010,72.7200076
FDO23,OUT046,121.0544244
NCE30,OUT018,976.6873204
FDQ22,OUT035,645.1602
FDY01,OUT045,123.1716684
FDS08,OUT017,224.7461164
FDG28,OUT018,998.1247488
FDQ51,OUT018,1021.955062
FDB05,OUT017,228.2016184
FDO56,OUT049,92.799204
FDE02,OUT018,1009.002589
FDN45,OUT017,277.5547092
FDS09,OUT013,248.3553844
NCA54,OUT018,873.4843256
FDP09,OUT010,73.5389416
FDC53,OUT045,76.493762
NCM55,OUT017,185.9592716
FDL09,OUT018,976.269198
FDA11,OUT019,120.6323072
FDA50,OUT045,129.0972884
FDC23,OUT017,224.0936324
FDE22,OUT049,74.8452412
FDD23,OUT046,99.7155344
NCA29,OUT049,75.648196
FDK38,OUT046,78.7055496
DRC13,OUT046,73.198052
NCP43,OUT049,74.83592
FDX28,OUT049,129.8030364
FDF08,OUT049,92.799204
FDZ33,OUT046,122.8321104
FDD10,OUT049,73.47103
FDO58,OUT017,237.62402
FDI50,OUT017,200.6934256
FDO58,OUT045,71.8158512
FDX08,OUT013,218.68201
NCK17,OUT010,77.9079212
FDF39,OUT035,661.3271556
FDU45,OUT010,71.9064
NCJ18,OUT018,976.6873204
DRC27,OUT019,126.5006684
DRC25,OUT035,699.7411524
FDU59,OUT035,633.0453032
FDU28,OUT035,671.59246
NCP30,OUT046,75.0582972
FDB39,OUT018,988.7449584
FDE41,OUT013,179.3944836
DRH11,OUT010,131.2038796
FDA58,OUT045,130.1625684
FDU50,OUT046,101.9699332
FDM34,OUT013,221.11218
FDM44,OUT027,223.8526128
FDR39,OUT045,131.5740644
FDM25,OUT045,70.0301756
FDQ49,OUT049,73.1328036
DRH25,OUT018,1024.073638
FDM09,OUT027,247.5684088
FDL44,OUT019,95.1188512
NCR42,OUT018,873.4843256
DRL59,OUT046,76.2567372
FDX43,OUT013,220.6208196
DRK47,OUT010,131.2038796
FDU48,OUT018,987.8887396
FDY12,OUT045,121.0850512
NCN43,OUT018,985.7808168
NCM55,OUT018,1006.753517
FDQ21,OUT027,234.7024896
FDX13,OUT035,680.3690356
NCK30,OUT027,219.5888296
FDG20,OUT049,132.4422676
DRG27,OUT017,243.3991692
FDY14,OUT018,995.1739232
FDP59,OUT035,724.6953364
FDU60,OUT017,199.8944656
NCC18,OUT019,129.63126
DRJ39,OUT017,211.0958848
FDS07,OUT049,136.8778272
FDM08,OUT027,220.8977924
FDP51,OUT045,121.1649472
FDU16,OUT035,671.59246
FDH12,OUT013,211.6231984
DRE48,OUT010,72.6947072
NCL42,OUT027,219.5888296
FDR21,OUT045,69.8064668
NCW29,OUT035,685.2000804
FDO11,OUT013,195.0634208
NCM31,OUT049,128.1105728
FDV35,OUT019,124.9626704
FDF58,OUT017,237.62402
NCE43,OUT049,129.63126
FDA02,OUT035,661.3271556
DRL37,OUT010,131.0747144
FDR24,OUT018,996.988894
